sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-10-29;15,349;15,698;16,047;16,047;14,931;15,558;15,577;128943,03287146451;2008505,9;163;
2014-10-28;15,977;16,047;15,977;16,535;15,977;16,047;16,119;81901,94509171901;1320644,75;77;
2014-10-27;15,838;15,977;16,605;16,605;15,698;15,838;16,033;86967,24686544298;1394357,3;121;
2014-10-24;16,465;16,745;17,372;17,372;16,465;16,535;16,997;45286,7218003912;769753,6;92;
2014-10-23;16,745;17,024;16,535;17,163;16,396;16,884;16,83;39990,657834938436;673057,4;82;
2014-10-22;16,326;16,745;16,186;17,093;15,698;16,396;16,48;138331,184149872;2279756,9;186;
2014-10-21;15,698;15,838;14,721;16,047;14,442;15,838;15,156;189461,49263149482;2872416;337;
2014-10-20;14,651;15,00;15,00;15,14;14,372;15,00;14,759;134988,71563365118;1992235,4;211;
2014-10-17;14,931;15,00;14,651;15,279;14,651;14,931;14,977;185472,60331732567;2777914,3;245;
2014-10-16;14,582;14,651;15,628;15,628;14,024;14,651;14,501;200224,18392150424;2903499,1;301;
2014-10-15;15,279;15,558;15,349;15,838;14,861;15,558;15,555;149377,66993654167;2323549,4;243;
2014-10-14;15,14;15,21;15,628;15,698;15,07;15,21;15,386;49899,09902388971;767746,6;144;
2014-10-13;15,558;15,698;16,465;16,465;15,349;15,558;15,808;281183,01396876643;4444831;236;
2014-10-10;16,256;16,396;16,745;16,745;15,558;16,256;16,249;159224,47898732935;2587292,3;383;
2014-10-09;16,884;16,954;17,093;17,442;16,814;16,884;17,036;106195,04066694468;1809129,7;257;
2014-10-08;16,814;16,954;18,14;18,14;16,605;16,814;17,079;240858,39594331366;4113646,2;374;
2014-10-07;18,14;18,21;18,838;19,047;18,07;18,21;18,535;130578,43449110772;2420301;305;
2014-10-06;18,768;18,838;19,745;19,745;18,489;18,838;19,025;73862,5343252171;1405241,7;190;
2014-10-03;19,605;19,745;19,884;20,233;19,535;19,605;19,757;94737,19619067151;1871681,9;157;
2014-10-02;19,814;19,884;20,233;20,512;19,814;19,814;20,146;113352,96852715336;2283581,7;189;
2014-10-01;20,303;20,372;20,652;21,21;20,233;20,303;20,484;74637,9526216474;1528860,3;115;
2014-09-30;20,582;20,721;21,21;21,628;20,582;20,582;21,202;440847,51775647304;9348133,85;139;
2014-09-29;21,21;21,349;21,489;21,907;20,931;21,21;21,397;79628,72250735959;1703526,7;210;
2014-09-26;21,559;21,698;20,303;21,768;20,303;21,698;21,37;145967,83606000253;3118682,1;237;
2014-09-25;20,442;20,582;20,372;20,791;19,954;20,582;20,404;274566,8756021819;5608356,5;230;
2014-09-24;20,163;20,303;20,024;20,372;20,024;20,233;20,241;153402,39188917802;3104982,2;98;
2014-09-23;19,954;20,233;20,303;20,442;19,884;20,163;20,123;176831,20422457473;3558423,4;176;
2014-09-22;20,233;20,303;20,372;20,372;20,093;20,233;20,274;94466,30144385945;1915232,9;146;
2014-09-19;20,372;20,512;20,233;20,582;20,233;20,372;20,342;104205,61257924551;2119724,4;207;
2014-09-18;20,093;20,163;19,954;20,582;19,954;20,163;20,173;102485,64593281972;2067480,6;172;
2014-09-17;19,884;19,954;20,442;20,512;19,186;19,884;19,77;170989,05084888177;3380448;261;
2014-09-16;20,093;20,163;20,024;20,861;19,884;20,093;20,239;115905,685691557;2345766,5;201;
2014-09-15;19,884;20,024;20,861;20,861;19,535;19,884;20,072;302219,63936009263;6066137,8;401;
2014-09-12;21,00;21,14;20,861;24,00;20,652;21,00;21,885;350894,69545394263;7679337,1;541;
2014-09-11;20,791;20,861;21,698;21,698;20,582;20,861;20,997;168882,09170701017;3545964,1;268;
2014-09-10;21,489;21,559;22,326;22,326;20,582;21,489;21,359;204502,60095448841;4368003,7;239;
2014-09-09;22,326;22,396;22,675;22,675;22,326;22,326;22,453;47872,404992184645;1074880,8;97;
2014-09-08;22,535;22,675;23,024;23,024;22,326;22,675;22,654;37536,8387527043;850346,6;87;
2014-09-05;22,745;22,884;23,163;23,163;22,675;22,745;22,783;113565,09774687922;2587317,7;197;
2014-09-04;23,163;23,303;23,791;23,791;22,884;23,163;23,307;128669,27151357507;2998937,8;163;
2014-09-03;23,233;23,303;23,652;23,652;23,093;23,233;23,356;97358,71202093216;2273928,5;165;
2014-09-02;23,582;23,652;22,814;24,07;22,675;23,652;22,957;383556,8620695685;8805416,8;134;
2014-09-01;22,814;23,093;23,233;23,233;22,466;22,814;22,848;61935,9989377929;1417093,8;119;
2014-08-29;22,745;22,814;22,535;23,233;22,326;22,814;22,776;95257,48610121531;2169623,1;191;
2014-08-28;22,535;22,675;23,093;23,093;22,326;22,535;22,668;67861,28403472976;1538251,6;120;
2014-08-27;22,954;23,024;22,396;23,512;22,396;23,024;23,063;170253,76510753477;3925559,4;264;
2014-08-26;22,396;22,535;22,256;22,745;22,256;22,396;22,518;74778,41656443884;1684166,1;154;
2014-08-25;22,396;22,466;23,093;23,303;21,977;22,396;22,465;152691,4723419887;3430195,6;355;
2014-08-22;23,093;23,303;23,512;23,721;23,093;23,093;23,341;127018,10353300631;2964767,3;191;
2014-08-21;23,582;23,652;24,07;24,07;23,442;23,652;23,63;146404,9942493024;3459517;141;
2014-08-20;23,861;24,00;24,07;24,28;23,861;23,861;24,035;158380,262025042;3806736,1;209;
2014-08-19;24,07;24,14;24,21;24,419;24,00;24,14;24,223;135603,60370974842;3284679,9;213;
2014-08-18;23,861;24,00;23,652;24,07;23,582;24,00;23,797;117343,29114686121;2792398,4;199;
2014-08-15;23,512;23,652;24,419;24,559;23,512;23,512;24,084;116919,03270740952;2815841,3;171;
2014-08-14;24,21;24,28;24,838;24,838;23,442;24,28;24,475;300079,7141908312;7344390,8;411;
2014-08-13;24,559;24,628;22,675;24,698;22,675;24,559;23,922;614438,0181580739;14698756,4;703;
2014-08-12;22,186;22,256;21,628;22,814;21,349;22,256;22,191;350952,0276754901;7787803,4;474;
2014-08-11;21,07;21,21;20,931;21,419;20,442;21,07;21,087;109795,50418012935;2315209;184;
2014-08-08;20,582;20,652;20,233;20,931;19,954;20,582;20,46;161289,872268579;3299991,6;264;
2014-08-07;19,954;20,093;20,372;20,791;19,256;19,954;20,184;91376,09470244776;1844323,4;196;
2014-08-06;20,512;20,721;20,861;20,861;20,372;20,512;20,597;84411,66308996198;1738639,8;148;
2014-08-05;20,931;21,07;20,931;21,14;20,721;20,931;20,96;28200,286473689608;591075,8;65;
2014-08-04;20,861;21,07;21,07;21,07;20,721;20,861;20,90;33535,04968868695;700867,6;94;
2014-08-01;20,791;21,00;20,931;21,279;20,791;21,00;20,921;22295,067654294376;466438,8;63;
2014-07-31;20,861;21,00;21,14;21,14;20,791;21,00;20,846;35398,34688898156;737918,2;35;
2014-07-30;21,07;21,21;21,279;21,279;20,861;21,07;20,975;58765,527086214686;1232589,4;108;
